"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.586,0.662,96.126,0.626,0,12338.496,18593137.391,0,0,0,0,3551.980,301.138
5.882,0.626,86.233,7.259,0,0,618496,330,3782,0,0,665,559
12.484,0.624,86.891,0,0,0,0,540,6098,0,0,464,281
12.811,0.498,86.692,0,0,0,0,480,4466,0,0,451,186
12.811,0.498,86.692,0,0,0,0,240,3704,0,0,427,127
13.184,0.373,86.443,0,0,0,0,360,4548,0,0,562,282
12.655,0.868,86.476,0,0,0,20480,240,3896,0,0,448,153
13.135,0.248,86.617,0,0,0,0,240,3672,0,0,422,124
12.734,0.499,86.767,0,0,0,0,480,5324,0,0,467,341
12.734,0.375,86.891,0,0,0,0,240,4772,0,0,454,200
13.151,0.372,86.476,0,0,0,0,480,3904,0,0,425,144
12.779,0.868,86.352,0,0,0,20480,180,4778,0,0,456,182
12.903,0.744,86.352,0,0,0,0,420,4402,0,0,457,172
12.827,0.249,86.924,0,0,0,0,450,4302,0,0,463,162
13.275,0.372,86.352,0,0,0,0,300,6252,0,0,482,280
13.043,0.497,86.460,0,0,0,0,240,4988,0,0,451,173
12.827,0.374,86.800,0,0,0,12288,420,4794,0,0,458,187
12.500,0.500,87,0,0,0,0,600,5508,0,0,463,197
12.935,0.373,86.692,0,0,0,0,760,5794,0,0,509,232
12.843,0.374,86.783,0,0,0,0,540,7254,0,0,492,266
12.609,0.499,86.891,0,0,0,0,840,6148,0,0,511,232
12.594,0.499,86.908,0,0,0,12288,180,5578,0,0,453,146
12.609,0.499,86.891,0,0,0,475136,600,7692,0,0,508,257
12.376,1.485,86.139,0,0,0,0,630,8020,0,0,488,278
13.027,0.496,86.476,0,0,0,0,600,6190,0,0,481,247
13.275,0.496,85.608,0.620,0,0,40960,540,6746,0,0,531,254
12.779,0.744,86.476,0,0,0,0,420,12886,0,0,468,221
13.151,0.372,86.476,0,0,0,0,780,6380,0,0,452,147
14.619,0.737,84.152,0.491,0,0,73728,420,7412,0,0,867,880
13.135,0.620,86.245,0,0,0,0,360,8566,0,0,461,265
12.919,0.497,86.584,0,0,0,0,450,6492,0,0,466,168
13.951,0.494,85.556,0,0,0,0,360,6844,0,0,577,276
13.704,0.988,83.827,1.481,0,0,86556672,780,8188,0,0,24598,292
12.562,1.617,80.970,4.851,0,0,173215744,300,6296,0,0,43869,618
11.985,2.247,80.150,5.618,0,0,191627264,600,9398,0,0,47841,476
12.189,2.114,80.100,5.597,0,0,192806912,360,6770,0,0,46129,211
12.639,1.983,77.695,7.683,0,0,194121728,420,6312,0,0,47305,204
12.779,2.109,79.777,5.335,0,0,193474560,480,7846,0,0,49363,269
11.648,2.107,79.182,7.063,0,0,182460416,630,8758,0,0,44149,736
11.940,2.239,81.592,4.229,0,0,192937984,540,6352,0,0,47750,180
12.422,1.863,82.236,3.478,0,0,107307008,360,8246,0,0,27810,391
12.562,1.617,81.592,4.229,0,0,96362496,240,6882,0,0,22450,355
12.453,0.872,85.679,0.996,0,0,25042944,300,6376,0,0,6523,196
12.360,0.749,86.891,0,0,0,16384,420,6996,0,0,471,182
13.366,0.495,86.139,0,0,0,0,480,6834,0,0,512,182
13.011,0.496,86.493,0,0,0,0,180,6392,0,0,448,138
13.400,0.372,86.228,0,0,0,0,790,7884,0,0,509,340
12.453,1.121,83.562,2.864,0,0,64929792,360,8390,0,0,18913,300
10.986,1.623,81.523,5.868,0,0,105201664,420,6376,0,0,23871,249
10.500,3.375,81.125,5,0,0,148910080,426,6948,0,0,38498,229
12.344,1.496,78.803,7.357,0,0,111153152,2384,8737,0,0,26564,316
12.155,1.128,79.073,7.644,0,0,110116864,120,6270,0,0,28727,125
11.389,1.627,81.227,5.757,0,0,116879360,420,13706,0,0,44924,274
11.290,1.985,78.908,7.816,0,0,172032000,840,7882,0,0,25960,388
11.765,1.502,79.099,7.635,0,0,105881600,360,6432,0,0,26038,214
10.013,1.252,80.225,8.511,0,0,104480768,300,7636,0,0,26413,300
13.043,0.994,77.143,8.820,0,0,96718848,480,6882,0,0,25272,272
11.514,1.377,81.227,5.882,0,0,99729408,180,6464,0,0,23934,176
11.500,1.875,78.500,8.125,0,0,152805376,240,6978,0,0,39109,284
11.875,2,79.875,6.250,0,0,192978944,240,6954,0,0,46678,228
12.219,1.746,80.673,5.362,0,0,195518464,420,6464,0,0,49310,202
11.514,2.253,80.851,5.382,0,0,168558592,450,6856,0,0,40076,200
12.110,0.999,86.891,0,0,0,5242880,360,7034,0,0,438,186
12.578,0.498,86.924,0,0,0,20480,540,6456,0,0,423,148
12.887,0.867,86.245,0,0,0,0,360,8498,0,0,465,304
13.200,0.498,86.301,0,0,0,0,2640,12701,0,0,641,461
12.578,0.498,86.924,0,0,0,0,180,6432,0,0,414,175
12.891,1.126,74.844,11.139,0,0,191102976,300,6884,0,0,49808,256
13.027,1.613,73.697,11.663,0,0,163278848,610,8872,0,0,46056,706
11.831,1.370,74.595,12.204,0,0,174403584,810,6540,0,0,37646,188
12.594,1.372,74.314,11.721,0,0,139198464,360,7198,0,0,35458,248
12.547,1.615,74.286,11.553,0,0,168144896,420,6448,0,0,41585,170
12.204,1.993,74.222,11.582,0,0,165355520,660,7892,0,0,45873,254
12.453,1.494,68.991,17.061,0,0,177442816,360,6802,0,0,39690,3998
11.845,2.244,69.077,16.833,0,0,170717184,180,6456,0,0,41262,13494
12.235,1.873,71.411,14.482,0,0,155295744,360,6922,0,0,38121,7209
12.390,1.502,70.588,15.519,0,0,153600000,540,8704,0,0,35113,7341
