"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","prec-c",,,,"User:","ziyi"
"Cmdline:","dstat --output ./ds.csv",,,,"Date:","08 Feb 2023 01:37:25 CST"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.438,0.635,96.342,0.585,0,12724.953,17336941.352,0,0,0,0,3323.076,297.669
12.718,0.499,81.297,5.486,0,0,1089536,810,9570,0,0,780,453
13.440,0.986,85.573,0,0,0,0,660,9756,0,0,598,323
12.375,0.500,87.125,0,0,0,0,540,5396,0,0,483,162
13.597,0.247,86.156,0,0,0,0,1200,9602,0,0,526,335
12.968,0.249,86.783,0,0,0,0,420,6808,0,0,478,209
12.125,0.750,87.125,0,0,0,0,660,6432,0,0,430,149
13.259,0.496,86.245,0,0,0,0,540,7080,0,0,506,216
12.609,0.499,86.891,0,0,0,0,660,7524,0,0,477,201
12.702,0.374,86.924,0,0,0,0,300,6960,0,0,432,160
13.383,0.372,86.245,0,0,0,0,840,8262,0,0,482,193
12.531,1.117,86.352,0,0,0,0,892,9236,0,0,507,206
12.375,0.500,87.125,0,0,0,0,240,8048,0,0,453,152
13.933,0.493,85.573,0,0,0,0,3275,13392,0,0,639,252
13.168,0.497,85.590,0.745,0,0,24576,1018,12606,0,0,593,426
12.827,0.374,86.800,0,0,0,0,660,9348,0,0,482,172
12.702,0.623,86.675,0,0,0,0,964,11852,0,0,646,309
13.916,0.493,85.591,0,0,0,0,976,12112,0,0,705,319
13.259,0.372,86.369,0,0,0,0,780,10180,0,0,466,178
13.275,0.372,86.352,0,0,0,0,1020,14096,0,0,520,304
12.984,0.125,86.642,0.250,0,0,24576,480,11816,0,0,498,223
13.168,0.248,86.584,0,0,0,0,630,11242,0,0,459,174
12.268,1.487,86.245,0,0,0,0,960,14348,0,0,482,228
13.490,0.495,86.015,0,0,0,0,2206,14025,0,0,530,196
13.292,0.248,86.460,0,0,0,0,1136,13108,0,0,498,203
13.259,0.496,86.245,0,0,0,0,844,13918,0,0,582,271
13.473,0.494,86.032,0,0,0,0,726,14094,0,0,504,223
13.366,0.371,86.262,0,0,0,0,1140,24412,0,0,493,185
12.625,0.375,87,0,0,0,0,1530,16042,0,0,558,315
12.903,0.744,86.352,0,0,0,0,1140,14236,0,0,470,205
12.718,0.249,86.658,0.374,0,0,24576,690,12550,0,0,414,147
12.500,0.500,87,0,0,0,0,900,13844,0,0,451,182
13.687,0.370,85.943,0,0,0,0,2952,17927,0,0,560,275
13.027,0.496,86.476,0,0,0,0,600,12574,0,0,474,169
13.151,0.496,86.352,0,0,0,0,720,14004,0,0,503,230
12.919,0.745,86.335,0,0,0,0,910,13406,0,0,547,342
13.383,0.124,86.493,0,0,0,0,630,12566,0,0,456,182
13.259,0.620,86.121,0,0,0,0,780,13124,0,0,589,275
12.827,0.623,86.301,0.249,0,0,45056,1170,13232,0,0,507,231
13.366,0.371,86.262,0,0,0,0,720,12628,0,0,469,172
13.827,0.247,85.926,0,0,0,0,960,13416,0,0,510,214
13.043,0.373,86.584,0,0,0,0,780,13750,0,0,455,224
12.484,0.499,87.016,0,0,0,0,840,12562,0,0,431,156
13.043,0.621,86.335,0,0,0,0,2116,15319,0,0,541,224
13.060,0.498,86.443,0,0,0,0,1316,13600,0,0,536,273
13.275,0.372,86.352,0,0,0,0,630,12550,0,0,463,254
10.500,2.500,87,0,0,0,0,930,15314,0,0,510,353
12.827,0.498,86.675,0,0,0,0,1080,13204,0,0,515,203
13.383,0.248,86.369,0,0,0,0,910,12698,0,0,543,225
13.243,0.619,86.015,0.124,0,0,20480,720,13412,0,0,522,218
12.734,0.250,86.767,0.250,0,0,4096,660,14500,0,0,481,242
13.060,0.249,86.692,0,0,0,0,660,12512,0,0,498,167
12.641,0.250,87.109,0,0,0,0,600,13844,0,0,452,236
13.168,0.248,86.584,0,0,0,0,1270,25130,0,0,502,242
12.500,0.500,87,0,0,0,0,570,13290,0,0,457,189
13.092,0.125,86.783,0,0,0,0,540,13316,0,0,482,214
13.135,0.496,86.369,0,0,0,0,794,13326,0,0,500,196
